idx,vid,uid,nickname,rewards
70,2120002,UV9eM3ryiBQ186I8nFzFwQLpB3C3,whtjdqls11,"1,2"
71,2120002,3imy6wVSf1cXOHscvn2NTlvqWiP2,dvm2748159,"1,2"
72,2120002,s8sogkKX6AbS5cbfyh8838FpykS2,Amba,"1,2"
73,2120002,cJMlSK3batciMH7aVQdgrdH3Fyl2,Miracleㅤㅤ,"1,2"
74,2120002,H96Guw4Bg8VrS4OXEcUgMXSvKZg2,garden2,"1,2"
75,2120002,htBK7Pda3ybtL8JwPmzFiAJFtov1,루갸토,1
76,2120002,0WuFdq2GBmRXNaS7kDcqKoVwMl92,지크Aro,1
77,2120002,71dDhY03xKdmWlSWcRzFNdBBJkK2,묘한프리티,1
78,2120002,DvQK2vRvnGVYsfKwSF4bYZQcKIA2,국밥용사전경훈,1
79,2120002,lqFTgHZxKnenV6BUXmdjjpIwcdW2,ilov2ut00,1
80,2120002,2M32F6pHQaRlRJo3jaGs1mPyHB42,도칠,1
81,2120002,9KWb73lrnTNIG4IpSzdoVfHARdM2,쑹냥,1
82,2120002,NXNk1LMjOYQ7haqZPjq4SjL73Lq1,KKnightM,1
83,2120002,edzOX7mItsY2I3VYiK0GTBgVIIw2,엘시오네,1
84,2120002,gdqHlgyZoBhXskndlluVFJel5Oe2,빈짠,1
85,2120002,lOSlVaHULwSAfPCpWbwj62Jq4pv1,一隻小萌新,1
86,2120002,sQWZOKISLDYJKaFksCQ5oirmAS13,레몬칙,1
87,2120002,N29SU0T1cChv9BbBpNP1YRzlMUH3,Nemesis천벌,1
88,2120002,tJ35XW4KDNfrWcPnWU5gAIf9sWX2,나는민성,1
89,2120002,XQuTHKeJlefh3F8RdLfKwZVwKuG2,£치농,1
90,2120002,tixZM0TZM5XgPqEJbFef3lXFNZP2,MOON77,1
91,2120002,vRgZhniqOacVJaaACKiO2evdshb2,고양이해리,1
92,2120002,s9FBYfZwmJgtWsmOAL7dPXTvldu1,광둑,1
93,2120002,1UThmeYw8vQli5WasqGfhhyUipw1,Prep,1
94,2120002,31SPo2P0vdgfyE8weufduhP5Lok2,サメとら,1
95,2120002,47bNo9xZPoepH7XpTEOwvOTgXE43,lililliilI,1
96,2120002,4D5GHf2SNOeveJFZimFl5LXbfDR2,dvm2749500,1
97,2120002,7MZeOH0IiXbZh45w5xzUHCzKynC2,Dancing퀸,1
98,2120002,7Z6kgMectqX3wDAdH4hlYVFmiNz2,발1투,1
99,2120002,821yUO9eejRdtqtDATPR4ZsXqwi1,홓ㅎ,1
100,2120002,8ArtpXXZHOTWIYe6bqtqKIVomQ53,MammaMia,1
101,2120002,96aUANaxm5MUQsdFWOwwiHYLw512,해적왕이될꺼야,1
